post_link,post_id,username,comment,datetime,clean_comment,sentiment
https://www.instagram.com/reel/DDo28I3yOGe/,goacemarabeach,arohman786,Males nak ndi2 Mak enak nek omah.pesen panganan lewat greb,2024-12-25T10:51:05.000Z,males enak omahpesen pangan greb,negative
https://www.instagram.com/reel/DDo28I3yOGe/,goacemarabeach,herie_azka_setiawan,Udann,2024-12-26T07:13:48.000Z,udann,neutral
https://www.instagram.com/reel/DDo28I3yOGe/,goacemarabeach,zih86,Siapkan pawang hujan min biar mengkondisikan taun barunya,2024-12-28T06:04:45.000Z,pawang hujan biar kondisi,negative
https://www.instagram.com/reel/DDo28I3yOGe/,goacemarabeach,nikenayustyni_,Ngundang aftershine  Mak @showimah 😍,2024-12-19T03:18:23.000Z,ngundang aftershine,neutral
https://www.instagram.com/reel/DDo28I3yOGe/,goacemarabeach,sangukukricik,Gassssss @astern_music @ratihsde,2024-12-18T16:54:19.000Z,gass music,positive
https://www.instagram.com/reel/DDo28I3yOGe/,goacemarabeach,kano.mangrove,😍😍😍,2024-12-27T01:14:23.000Z,,neutral
https://www.instagram.com/reel/DDo28I3yOGe/,goacemarabeach,jadmikoedy,Kalo tenda sendiri piro dab,2024-12-22T18:20:25.000Z,tenda piro,neutral
https://www.instagram.com/reel/DDo28I3yOGe/,goacemarabeach,lusiyanto1,"Pantai, pusat kota, jalan raya pasti ramai pol kalau malam tahun baru, hal yang harus dipersiapakan yaitu linggis, obeng, senter dan kesehatan.",2024-12-21T06:41:32.000Z,pantai pusat kota jalan raya ramai malam linggis obeng senter sehat,negative
https://www.instagram.com/reel/DDo28I3yOGe/,goacemarabeach,blueplanetphotograph,ngalamat macet pooollllll hihihihi....,2024-12-20T18:36:22.000Z,ngalamat macet pooll hihihihi,neutral
https://www.instagram.com/reel/DDo28I3yOGe/,goacemarabeach,aripin_indonesia,Mlebu dolan tok byr piro,2024-12-28T17:24:33.000Z,mlebu dolan bayar piro,negative
https://www.instagram.com/reel/DDo28I3yOGe/,goacemarabeach,gisetraemilio,"Rawani, kesel neng dalan jelas nek iki",2024-12-23T16:00:08.000Z,rawan kesel neng,negative
https://www.instagram.com/reel/DDo28I3yOGe/,goacemarabeach,merahholic,Bolehkah bwa bojone horang,2024-12-26T06:00:50.000Z,bojone horang,neutral
https://www.instagram.com/reel/DDo28I3yOGe/,goacemarabeach,riyan_adi92,Ok,2024-12-28T11:53:37.000Z,,neutral
https://www.instagram.com/reel/DDo28I3yOGe/,goacemarabeach,woelandari02,Smua hotel pasti penuh neh d jogja menjelang tahun baru bsk..,2024-12-27T01:49:08.000Z,smua hotel penuh jogja jelang besok,positive
https://www.instagram.com/reel/DDo28I3yOGe/,goacemarabeach,under_coveraja,Ball balan kallah wae kok ditonton,2024-12-17T00:23:18.000Z,ball balan kallah tonton,negative
