post_link,post_id,username,comment,datetime,clean_comment,sentiment
https://www.instagram.com/reel/DERRxorzNQV/,desawisatanglanggeran,nuhhanafiq,"Tumben muncul di beranda ku, tahu aja besuk mau lewat situ 😂",2025-01-01T06:40:51.000Z,tumben muncul beranda besuk situ,negative
https://www.instagram.com/reel/DERRxorzNQV/,desawisatanglanggeran,yudhae_aj,🔥🔥🔥🔥,2025-01-02T07:44:58.000Z,,neutral
https://www.instagram.com/reel/DERRxorzNQV/,desawisatanglanggeran,ajeng_putri.a,@hnfdhy anjir truck e bapak ku pas lewat 😂,2025-01-03T03:18:40.000Z,anjing truck,negative
https://www.instagram.com/reel/DERRxorzNQV/,desawisatanglanggeran,khiicrutesz89,Peh di tinggal merantau lagi 8 sasi wes bedo,2025-01-01T12:00:51.000Z,tinggal rantau sasi bedo,negative
https://www.instagram.com/reel/DERRxorzNQV/,desawisatanglanggeran,wis_nunu,Semacam kota baru,2025-01-01T13:11:06.000Z,kota,negative
https://www.instagram.com/reel/DERRxorzNQV/,desawisatanglanggeran,kintyusuf,Ayo budall tangane wes grigingen,2025-01-01T14:53:36.000Z,budall tangane grigingen,neutral
https://www.instagram.com/reel/DERRxorzNQV/,desawisatanglanggeran,siloistimewa,Wes tau lewat dua kali.. Saya bantul,2025-01-01T23:14:29.000Z,kali bantul,neutral
https://www.instagram.com/reel/DERRxorzNQV/,desawisatanglanggeran,mba_rikha36,@heru_putera14,2025-01-01T13:07:43.000Z,putera,neutral
https://www.instagram.com/reel/DERRxorzNQV/,desawisatanglanggeran,danendrairkhamm,kangen ngelanggeran 😢,2025-01-01T10:03:30.000Z,kangen ngelanggeran,neutral
https://www.instagram.com/reel/DERRxorzNQV/,desawisatanglanggeran,muhammad.antok25,@tjul.ian hayo Munggah,2025-01-02T17:24:38.000Z,hayo munggah,positive
https://www.instagram.com/reel/DERRxorzNQV/,desawisatanglanggeran,lio_comvalioo,rute sehari hari 😍,2025-01-02T13:57:29.000Z,rute,negative
https://www.instagram.com/reel/DERRxorzNQV/,desawisatanglanggeran,tofa.1902,Jalan baru yang indah,2025-01-02T16:11:21.000Z,jalan indah,positive
https://www.instagram.com/reel/DERRxorzNQV/,desawisatanglanggeran,henyshinta22,Saiki wes apik ndul @la.disha89 😮 apakabar jaman bien😂,2025-01-03T04:36:00.000Z,saiki apik ndul disha apakabar jaman bien,negative
https://www.instagram.com/reel/DERRxorzNQV/,desawisatanglanggeran,_noerjanah,Ini yg arah ke sampang gedangsari dah bagus blm ya aspalnya??,2025-01-03T05:00:38.000Z,arah sampang gedangsari bagus aspal,negative
https://www.instagram.com/reel/DERRxorzNQV/,desawisatanglanggeran,ekosteady,Woh elok semeduk iki,2025-01-03T08:07:44.000Z,elok semeduk,neutral
https://www.instagram.com/reel/DERRxorzNQV/,desawisatanglanggeran,solehan3672,Bagus bgt,2025-01-04T03:42:02.000Z,bagus banget,negative
https://www.instagram.com/reel/DERRxorzNQV/,desawisatanglanggeran,spurnanis,😍😍😍😍,2025-01-04T05:53:35.000Z,,neutral
https://www.instagram.com/reel/DERRxorzNQV/,desawisatanglanggeran,arahmaaaaaa,@varellajaa ngd yang,2025-01-05T02:37:05.000Z,,neutral
https://www.instagram.com/reel/DERRxorzNQV/,desawisatanglanggeran,violaviola2580,ya allah apike ..sue ra bli aquuu wes koyo hongkong tawangsari,2025-01-09T16:43:59.000Z,allah apike aquu koyo hongkong tawangsari,positive
https://www.instagram.com/reel/DERRxorzNQV/,desawisatanglanggeran,kim_gaduhan_maju,Semacam di metropolitan,2025-01-14T02:51:45.000Z,metropolitan,neutral
https://www.instagram.com/reel/DERRxorzNQV/,desawisatanglanggeran,berta_bening,Rute jjs sama adik waktu ambil bolu kelapa bablas ke cafe yg panoramanya gunung nglanggeran @tya_cilik,2025-01-22T09:12:32.000Z,rute adik ambil bolu kelapa bablas cafe panorama gunung nglanggeran cilik,negative
https://www.instagram.com/reel/DERRxorzNQV/,desawisatanglanggeran,punthukkepuh_,Istimewa 😍,2025-02-26T22:59:36.000Z,istimewa,neutral
